country,medianHouseholdIncome,medianPerCapitaIncome,pop2020,latitude,longitude,total
Moldova,4158,1329,4033.963,47.411631,28.369884999999996,0.09395227472339235
Paraguay,6179,1292,7132.538,-23.442503,-58.44383199999999,0.055380006387628085
South Africa,5217,1217,59308.69,-30.559482,22.937506,0.030619458969672067
Nicaragua,6488,1173,6624.554,12.865416,-85.207229,0.06551384440371381
Morocco,6634,1135,36910.56,31.791702,-7.09262,0.0350306253820045
Vietnam,4783,1124,97338.579,14.058323999999999,108.277199,0.16538149791564144
El Salvador,4828,1114,6486.205,13.794185,-88.89653,0.1806911745774301
Peru,5161,1077,32971.854,-9.189967,-75.015152,0.07700507226557536
Libya,6398,1012,6871.292,26.3351,17.228331,0.1954508700838212
Armenia,3865,926,2963.243,40.069099,45.038189,0.11642649624077404
Guatemala,4516,898,17915.568,15.783470999999999,-90.23075899999999,0.06212473977939187
Kyrgyzstan,4034,828,6524.195,41.20438,74.766098,0.04000493547479804
Honduras,4848,821,9904.607,15.199998999999998,-86.241905,0.15275719672673535
Mauritania,6679,778,4649.658,21.00789,-10.940835,0.01526994028378001
Botswana,3603,740,2351.627,-22.328474,24.684866,0.09185130124802955
Georgia,2591,734,3989.167,42.315407,43.356891999999995,0.11430957891710225
Angola,3534,720,32866.272,-11.202691999999999,17.873887,0.024706179027545322
Sri Lanka,3242,719,21413.249,7.873054,80.77179699999999,0.142248380897266
Tajikistan,5137,713,9537.645,38.861034000000004,71.276093,0.03271247776573777
Haiti,2735,627,11402.528,18.971187,-72.28521500000001,0.0819116602914722
Egypt,3111,623,102334.404,26.820553000000004,30.802497999999996,0.025485075380905137
Iraq,4917,617,40222.493,33.223191,43.679291,0.02670147770303546
India,3168,616,1380004.385,20.593684,78.96288,0.0701113714214756
Laos,3379,615,7275.56,19.856270000000002,102.495496,0.006872323230101875
Comoros,3912,598,869.601,-11.875001,43.872219,0.021849100909497574
Sudan,3640,579,43849.26,12.862807,30.217636,0.004264610166739416
Bangladesh,2819,567,164689.383,23.684994,90.35633100000001,0.023243757006485354
Indonesia,2199,541,273523.615,-0.789275,113.921327,0.02804145448282409
Nepal,2718,519,29136.808,28.394857000000002,84.12400799999999,0.30614197684248734
Nigeria,2667,493,206139.589,9.081999,8.675277000000001,0.03549051414864323
Pakistan,4060,480,220892.34,30.375321000000003,69.345116,0.02160328420623368
Philippines,2401,478,109581.078,12.879721,121.77401699999999,0.029339006867590774
Cambodia,2308,451,16718.965,12.565679,104.990963,0.02350623977022501
"Congo, Republic of the (Brazzaville)",2106,416,5518.087,-0.228021,15.827658999999999,0.05599766730752886
Cameroon,2075,403,26545.863,7.369722,12.354722,0.05545120156764163
Senegal,3897,402,16743.927,14.497401000000002,-14.452361999999999,0.04108952457807538
Kenya,1870,402,53771.296,-0.023559,37.906193,0.06538804644024201
Yemen,3178,400,29825.964,15.552726999999999,48.516388,0.011835325758456625
Tanzania,2154,384,59734.218,-6.369028,34.888822,0.015903782317866787
Afghanistan,4121,378,38928.346,33.93911,67.709953,0.011534011745579944
Chad,2394,338,16425.864,15.454166,18.732207,0.005418284237590181
"Congo, Dem. Rep. of the (Kinshasa)",1988,308,89561.403,-4.038333000000001,21.758664000000003,0.004309892286970984
Niger,2708,307,24206.644,17.607789,8.081666,0.00801432862812375
Uganda,1775,296,45741.007,1.373333,32.290275,0.017118118978010258
Zambia,1501,287,18383.955,-13.133897,27.849332,0.026980048634801378
Togo,571,279,8278.724,8.619543,0.824782,0.02633256042839452
Rwanda,1101,235,12952.218,-1.940278,29.873888,0.04362187233105557
Sierra Leone,2330,233,7976.983,8.460555000000001,-11.779889,0.015419363436025875
Madagascar,1013,205,27691.018,-18.766947000000002,46.869107,0.004477986327552133
Mali,1983,165,20250.833,17.570692,-3.9961660000000006,0.01891280225361594
Burundi,673,129,11890.784,-3.3730559999999996,29.918885999999997,0.010428244260428918
Liberia,781,118,5057.681,6.4280550000000005,-9.429499,0.0340076805951186
Ghana,2050,47,31072.94,7.946527000000001,-1.0231940000000002,0.09213804680213716
